"method","type","param","cluster","dim.x","mean","sd","lower","upper","width","dim.y","true","bias","rmse"
"connectivity_only","sigma","sigma[2,3]",2,3,1.26319271724237,0.579427015899861,0.25414470739769,2.444555258968,2.19041055157031,2,1.5,-0.236807282757634,0.62594996279389
"connectivity_only","sigma","sigma[2,3]",2,3,1.26319271724237,0.579427015899861,0.25414470739769,2.444555258968,2.19041055157031,3,1.5,-0.236807282757634,0.62594996279389
"connectivity_only","sigma","sigma[2,3]",2,3,1.26319271724237,0.579427015899861,0.25414470739769,2.444555258968,2.19041055157031,4,1.5,-0.236807282757634,0.62594996279389
"connectivity_only","sigma","sigma[2,4]",2,4,1.9090731962789,1.12938430108125,0.756714482621822,5.25426803483606,4.49755355221424,1,1.5,0.409073196278901,1.20118682120752
"connectivity_only","sigma","sigma[2,4]",2,4,1.9090731962789,1.12938430108125,0.756714482621822,5.25426803483606,4.49755355221424,2,1.5,0.409073196278901,1.20118682120752
"connectivity_only","sigma","sigma[2,4]",2,4,1.9090731962789,1.12938430108125,0.756714482621822,5.25426803483606,4.49755355221424,3,1.5,0.409073196278901,1.20118682120752
"connectivity_only","sigma","sigma[2,4]",2,4,1.9090731962789,1.12938430108125,0.756714482621822,5.25426803483606,4.49755355221424,4,1.5,0.409073196278901,1.20118682120752
"connectivity_only","sigma","sigma[3,1]",3,1,0.945296629562383,0.260549477187909,0.578409927699659,1.54002550632301,0.961615578623349,1,1,-0.054703370437617,0.26623014254612
"connectivity_only","sigma","sigma[3,1]",3,1,0.945296629562383,0.260549477187909,0.578409927699659,1.54002550632301,0.961615578623349,2,2,-1.05470337043762,1.08640932878697
"connectivity_only","sigma","sigma[3,1]",3,1,0.945296629562383,0.260549477187909,0.578409927699659,1.54002550632301,0.961615578623349,3,1,-0.054703370437617,0.26623014254612
"connectivity_only","sigma","sigma[3,1]",3,1,0.945296629562383,0.260549477187909,0.578409927699659,1.54002550632301,0.961615578623349,4,2,-1.05470337043762,1.08640932878697
"connectivity_only","sigma","sigma[3,2]",3,2,1.7594273232427,0.462241786133654,1.05874877867489,2.91408334037344,1.85533456169855,1,1,0.759427323242701,0.889042928173665
"connectivity_only","sigma","sigma[3,2]",3,2,1.7594273232427,0.462241786133654,1.05874877867489,2.91408334037344,1.85533456169855,2,2,-0.240572676757299,0.521097574020646
"connectivity_only","sigma","sigma[3,2]",3,2,1.7594273232427,0.462241786133654,1.05874877867489,2.91408334037344,1.85533456169855,3,1,0.759427323242701,0.889042928173665
"connectivity_only","sigma","sigma[3,2]",3,2,1.7594273232427,0.462241786133654,1.05874877867489,2.91408334037344,1.85533456169855,4,2,-0.240572676757299,0.521097574020646
"connectivity_only","sigma","sigma[3,3]",3,3,1.08741670638117,0.274537036326664,0.680088081921056,1.76123706043078,1.08114897850972,1,1,0.0874167063811691,0.288118491023328
"connectivity_only","sigma","sigma[3,3]",3,3,1.08741670638117,0.274537036326664,0.680088081921056,1.76123706043078,1.08114897850972,2,2,-0.912583293618831,0.952984182506311
"connectivity_only","sigma","sigma[3,3]",3,3,1.08741670638117,0.274537036326664,0.680088081921056,1.76123706043078,1.08114897850972,3,1,0.0874167063811691,0.288118491023328
"connectivity_only","sigma","sigma[3,3]",3,3,1.08741670638117,0.274537036326664,0.680088081921056,1.76123706043078,1.08114897850972,4,2,-0.912583293618831,0.952984182506311
"connectivity_only","sigma","sigma[3,4]",3,4,1.71271893753245,0.43451607546019,1.0643435125412,2.80303220564983,1.73868869310862,1,1,0.712718937532446,0.834729000185512
"connectivity_only","sigma","sigma[3,4]",3,4,1.71271893753245,0.43451607546019,1.0643435125412,2.80303220564983,1.73868869310862,2,2,-0.287281062467554,0.520897906202178
"connectivity_only","sigma","sigma[3,4]",3,4,1.71271893753245,0.43451607546019,1.0643435125412,2.80303220564983,1.73868869310862,3,1,0.712718937532446,0.834729000185512
"connectivity_only","sigma","sigma[3,4]",3,4,1.71271893753245,0.43451607546019,1.0643435125412,2.80303220564983,1.73868869310862,4,2,-0.287281062467554,0.520897906202178
"integrated","mu","mu[1,1]",1,1,-0.0326098231667198,0.16252145032678,-0.355944313878868,0.279119199180351,0.635063513059219,1,0,-0.0326098231667198,0.165760738364924
"integrated","mu","mu[1,1]",1,1,-0.0326098231667198,0.16252145032678,-0.355944313878868,0.279119199180351,0.635063513059219,2,0,-0.0326098231667198,0.165760738364924
"integrated","mu","mu[1,1]",1,1,-0.0326098231667198,0.16252145032678,-0.355944313878868,0.279119199180351,0.635063513059219,3,0,-0.0326098231667198,0.165760738364924
"integrated","mu","mu[1,1]",1,1,-0.0326098231667198,0.16252145032678,-0.355944313878868,0.279119199180351,0.635063513059219,4,0,-0.0326098231667198,0.165760738364924
"integrated","mu","mu[1,2]",1,2,0.22925304196134,0.157223326586985,-0.0486571513999059,0.560624623616021,0.609281775015927,1,0,0.22925304196134,0.27798584797001
"integrated","mu","mu[1,2]",1,2,0.22925304196134,0.157223326586985,-0.0486571513999059,0.560624623616021,0.609281775015927,2,0,0.22925304196134,0.27798584797001
"integrated","mu","mu[1,2]",1,2,0.22925304196134,0.157223326586985,-0.0486571513999059,0.560624623616021,0.609281775015927,3,0,0.22925304196134,0.27798584797001
"integrated","mu","mu[1,2]",1,2,0.22925304196134,0.157223326586985,-0.0486571513999059,0.560624623616021,0.609281775015927,4,0,0.22925304196134,0.27798584797001
"integrated","mu","mu[1,3]",1,3,0.0273292517477935,0.118645816525221,-0.197064625624718,0.271186599629086,0.468251225253804,1,0,0.0273292517477935,0.121752691058681
"integrated","mu","mu[1,3]",1,3,0.0273292517477935,0.118645816525221,-0.197064625624718,0.271186599629086,0.468251225253804,2,0,0.0273292517477935,0.121752691058681
"integrated","mu","mu[1,3]",1,3,0.0273292517477935,0.118645816525221,-0.197064625624718,0.271186599629086,0.468251225253804,3,0,0.0273292517477935,0.121752691058681
"integrated","mu","mu[1,3]",1,3,0.0273292517477935,0.118645816525221,-0.197064625624718,0.271186599629086,0.468251225253804,4,0,0.0273292517477935,0.121752691058681
"integrated","mu","mu[1,4]",1,4,-0.366755601670477,0.132076514493872,-0.624811711617246,-0.116208322607134,0.508603389010112,1,0,-0.366755601670477,0.389812617853147
"integrated","mu","mu[1,4]",1,4,-0.366755601670477,0.132076514493872,-0.624811711617246,-0.116208322607134,0.508603389010112,2,0,-0.366755601670477,0.389812617853147
"integrated","mu","mu[1,4]",1,4,-0.366755601670477,0.132076514493872,-0.624811711617246,-0.116208322607134,0.508603389010112,3,0,-0.366755601670477,0.389812617853147
"integrated","mu","mu[1,4]",1,4,-0.366755601670477,0.132076514493872,-0.624811711617246,-0.116208322607134,0.508603389010112,4,0,-0.366755601670477,0.389812617853147
"integrated","mu","mu[2,1]",2,1,1.44778822281986,0.272540483059142,0.883932107262673,1.95231207346591,1.06837996620324,1,1,0.447788222819858,0.524206645705945
"integrated","mu","mu[2,1]",2,1,1.44778822281986,0.272540483059142,0.883932107262673,1.95231207346591,1.06837996620324,2,2,-0.552211777180142,0.615805295334947
"integrated","mu","mu[2,1]",2,1,1.44778822281986,0.272540483059142,0.883932107262673,1.95231207346591,1.06837996620324,3,0,1.44778822281986,1.47321724570479
"integrated","mu","mu[2,1]",2,1,1.44778822281986,0.272540483059142,0.883932107262673,1.95231207346591,1.06837996620324,4,0,1.44778822281986,1.47321724570479
"integrated","mu","mu[2,2]",2,2,1.82268182295866,0.277626123652529,1.28098694401342,2.36606851411375,1.08508157010033,1,1,0.822681822958663,0.868263581155468
"integrated","mu","mu[2,2]",2,2,1.82268182295866,0.277626123652529,1.28098694401342,2.36606851411375,1.08508157010033,2,2,-0.177318177041337,0.32942070433352
"integrated","mu","mu[2,2]",2,2,1.82268182295866,0.277626123652529,1.28098694401342,2.36606851411375,1.08508157010033,3,0,1.82268182295866,1.84370423123619
"integrated","mu","mu[2,2]",2,2,1.82268182295866,0.277626123652529,1.28098694401342,2.36606851411375,1.08508157010033,4,0,1.82268182295866,1.84370423123619
"integrated","mu","mu[2,3]",2,3,0.0838827113724357,0.257803188630559,-0.421155353662101,0.597487768550009,1.01864312221211,1,1,-0.916117288627564,0.951700252490459
"integrated","mu","mu[2,3]",2,3,0.0838827113724357,0.257803188630559,-0.421155353662101,0.597487768550009,1.01864312221211,2,2,-1.91611728862756,1.93338251462186
"integrated","mu","mu[2,3]",2,3,0.0838827113724357,0.257803188630559,-0.421155353662101,0.597487768550009,1.01864312221211,3,0,0.0838827113724357,0.27110660880044
"integrated","mu","mu[2,3]",2,3,0.0838827113724357,0.257803188630559,-0.421155353662101,0.597487768550009,1.01864312221211,4,0,0.0838827113724357,0.27110660880044
"integrated","mu","mu[2,4]",2,4,0.0399921982940231,0.304282156713669,-0.484543285892039,0.705964129776729,1.19050741566877,1,1,-0.960007801705977,1.0070762683286
"integrated","mu","mu[2,4]",2,4,0.0399921982940231,0.304282156713669,-0.484543285892039,0.705964129776729,1.19050741566877,2,2,-1.96000780170598,1.98348637848678
"integrated","mu","mu[2,4]",2,4,0.0399921982940231,0.304282156713669,-0.484543285892039,0.705964129776729,1.19050741566877,3,0,0.0399921982940231,0.306899017298378
"integrated","mu","mu[2,4]",2,4,0.0399921982940231,0.304282156713669,-0.484543285892039,0.705964129776729,1.19050741566877,4,0,0.0399921982940231,0.306899017298378
"integrated","mu","mu[3,1]",3,1,-3.72975401466977,0.174882699553111,-4.06157722582191,-3.36091162560009,0.700665600221821,1,-4,0.270245985330233,0.321895714774354
"integrated","mu","mu[3,1]",3,1,-3.72975401466977,0.174882699553111,-4.06157722582191,-3.36091162560009,0.700665600221821,2,4,-7.72975401466977,7.73173208834258
"integrated","mu","mu[3,1]",3,1,-3.72975401466977,0.174882699553111,-4.06157722582191,-3.36091162560009,0.700665600221821,3,-4,0.270245985330233,0.321895714774354
"integrated","mu","mu[3,1]",3,1,-3.72975401466977,0.174882699553111,-4.06157722582191,-3.36091162560009,0.700665600221821,4,4,-7.72975401466977,7.73173208834258
"integrated","mu","mu[3,2]",3,2,4.38262893101864,0.240579272210078,3.90441083425896,4.87278213020223,0.968371295943276,1,-4,8.38262893101864,8.38608050172236
"integrated","mu","mu[3,2]",3,2,4.38262893101864,0.240579272210078,3.90441083425896,4.87278213020223,0.968371295943276,2,4,0.382628931018644,0.451977084673107
